죄종별,기간별,항목,단위,1990 년,1991 년,1992 년,1993 년,1994 년,1995 년,1996 년,1997 년,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년
총범죄,계,범죄,건,,,,,1309326,1329694,1419811,1536652,1712233,1654064,1739558,1860687,1833271,1894762,1968183,1733122,1719075,1836496,2063737,2020209,1784953
총범죄,1시간이내,범죄,건,,,,,331535,364751,418712,513878,593228,586330,685172,765626,784277,791732,16249,57744,18892,16762,18460,10845,355750
총범죄,2시간이내,범죄,건,,,,,31046,27811,27952,28719,28974,28977,29452,29694,25167,25025,2178,23515,3456,4281,3822,2636,41480
총범죄,5시간이내,범죄,건,,,,,26873,25105,24537,25123,28497,30987,33643,31436,25507,25338,1596,21234,2104,2152,1886,1467,43201
총범죄,12시간이내,범죄,건,,,,,29240,28522,29517,32656,32505,31268,44858,43479,33621,34866,1190,20921,1318,1713,1336,990,45746
총범죄,24시간이내,범죄,건,,,,,61607,53160,55857,62914,63756,59679,67080,64821,57679,58799,1042,21991,1448,1651,1298,1079,44977
총범죄,2일이내,범죄,건,,,,,54412,51728,55817,58673,66321,58932,62335,59548,50639,50778,1489,26535,1865,2146,1705,1479,45251
총범죄,5일이내,범죄,건,,,,,108756,113892,118319,119472,128736,110928,115948,114896,102209,102117,3109,54015,3401,3536,2939,2617,83531
총범죄,10일이내,범죄,건,,,,,100110,97510,103770,106023,106606,97161,102976,108387,98700,97503,3308,48842,3284,3493,2799,2425,77903
총범죄,1개월이내,범죄,건,,,,,173159,158641,158825,163992,163130,162316,174257,182629,184312,192107,6801,85297,7194,6721,5841,5021,140088
총범죄,3개월이내,범죄,건,,,,,144158,133216,127423,127746,137395,132594,139172,150531,159852,168256,7892,74264,6914,7034,7119,6581,136744
총범죄,3개월초과,범죄,건,,,,,248430,275358,299082,297456,363085,354892,284665,309640,311308,348241,1923329,1298764,1669199,1787007,2016532,1985069,770282
형법범,계,범죄,건,628837,623439,643084,683071,467901,497352,545178,553334,633235,689558,773121,802573,754605,827074,803135,790847,818725,828610,885671,980325,934839
형법범,1시간이내,범죄,건,180341,173916,179391,188252,108052,113435,122822,136070,165556,205559,270862,282050,243970,254493,7208,23247,7418,7043,6304,5072,129158
형법범,2시간이내,범죄,건,28841,24766,25149,22776,8669,8050,7768,7735,8902,10694,14559,15340,12225,12687,1403,13066,1389,1940,1758,1521,26425
형법범,5시간이내,범죄,건,23250,19255,19162,18208,12245,11408,11077,11145,13083,16521,22045,20886,16029,17350,1218,15578,1411,1479,1386,1161,33659
형법범,12시간이내,범죄,건,23358,19953,19897,17900,14942,14315,15282,16146,16047,17254,31886,30495,22168,24493,1018,15824,1086,1339,1005,790,35843
형법범,24시간이내,범죄,건,58285,57704,57601,49986,25996,21274,22056,22594,23431,25975,38412,37478,29448,31833,838,14394,1101,1158,866,782,32575
형법범,2일이내,범죄,건,40897,38066,36014,35011,21711,20403,21679,20730,21572,23940,31739,29685,23493,24471,1049,14553,1280,1461,1081,971,28492
형법범,5일이내,범죄,건,54539,49673,48149,51812,32625,31190,33255,33643,35441,37653,46958,46310,38846,39869,1921,24351,2124,2219,1684,1581,42304
형법범,10일이내,범죄,건,38524,35853,38148,43305,22412,21716,23729,24019,24721,27045,33111,33744,30141,31461,1713,17927,1669,1806,1380,1267,34667
형법범,1개월이내,범죄,건,58559,62360,61322,68534,33121,32720,33840,35785,37172,40480,47293,49353,52430,55337,2633,26606,2926,2932,2569,2528,58719
형법범,3개월이내,범죄,건,39951,42711,46847,46808,39835,41709,43146,45540,49225,49968,52644,58845,70188,74444,3763,32759,3824,3902,3796,4018,73917
형법범,3개월초과,범죄,건,82292,98182,111404,140479,148293,181132,210524,199927,238085,234469,183612,198387,215667,260636,780371,592542,794497,803331,863842,960634,439080
강력범,계,범죄,건,10681,8610,8736,10763,12114,9762,10655,11599,13602,13400,14520,14858,14353,16519,15496,15357,16397,15973,17758,19790,25771
강력범,1시간이내,범죄,건,2720,2115,2092,2632,3116,2909,3433,3815,4688,4354,5539,5946,5424,6194,129,698,165,150,148,123,5436
강력범,2시간이내,범죄,건,359,256,248,293,338,254,288,290,346,349,382,429,347,411,45,356,49,51,45,36,948
강력범,5시간이내,범죄,건,435,317,259,370,489,427,398,478,574,521,602,569,496,558,32,486,57,35,27,20,1325
강력범,12시간이내,범죄,건,578,413,465,537,718,579,588,615,642,602,602,581,487,557,43,427,46,52,28,23,1263
강력범,24시간이내,범죄,건,1294,999,1025,1084,1111,787,831,738,876,786,767,798,761,873,24,302,37,32,23,24,885
강력범,2일이내,범죄,건,1032,765,690,892,976,858,896,687,763,730,713,660,602,673,40,374,39,29,35,30,919
강력범,5일이내,범죄,건,1065,865,847,1091,1223,1003,1096,1248,1367,1358,1379,1306,1192,1342,62,590,56,70,34,49,1236
강력범,10일이내,범죄,건,582,431,562,647,782,591,672,796,872,874,861,877,871,1015,40,447,33,44,31,22,1105
강력범,1개월이내,범죄,건,911,691,782,926,1146,868,895,983,1184,1289,1265,1206,1405,1655,81,731,79,60,57,66,1679
강력범,3개월이내,범죄,건,625,618,638,810,913,755,723,864,1030,1154,1083,1072,1264,1463,54,593,74,57,52,49,1646
강력범,3개월초과,범죄,건,1080,1140,1128,1481,1302,731,835,1085,1260,1383,1327,1414,1504,1778,14946,10353,15762,15393,17278,19348,9329
살인,계,범죄,건,633,595,620,808,653,630,679,784,963,976,941,1051,957,998,1083,1061,1073,1111,1109,1374,1251
살인,1시간이내,범죄,건,105,115,119,170,143,159,168,216,283,307,286,337,328,339,13,49,33,14,14,13,279
살인,2시간이내,범죄,건,20,22,17,30,32,24,29,37,25,27,23,31,24,30,4,27,13,5,4,6,49
살인,5시간이내,범죄,건,18,21,26,46,37,35,36,51,41,54,56,41,57,60,7,48,8,5,4,3,89
살인,12시간이내,범죄,건,52,29,41,60,50,70,65,64,72,72,71,65,64,68,9,47,7,6,2,6,77
살인,24시간이내,범죄,건,87,89,107,93,95,75,83,69,97,77,81,94,87,92,1,40,8,6,1,3,69
살인,2일이내,범죄,건,98,77,62,110,77,67,62,65,94,67,75,78,79,57,5,31,11,4,4,2,49
살인,5일이내,범죄,건,88,74,86,101,76,64,84,91,111,115,125,105,89,111,3,46,6,8,2,6,55
살인,10일이내,범죄,건,38,33,41,43,42,36,36,63,68,59,47,81,58,59,7,29,5,1,4,2,33
살인,1개월이내,범죄,건,45,42,39,53,37,41,47,46,64,68,52,73,73,60,4,37,6,3,1,3,40
살인,3개월이내,범죄,건,28,30,27,32,21,33,35,31,54,65,55,68,46,49,2,28,5,4,2,2,43
살인,3개월초과,범죄,건,54,63,55,70,43,26,34,51,54,65,70,78,52,73,1028,679,971,1055,1071,1328,468
강도,계,범죄,건,4760,3289,3112,3730,4580,3674,3670,4420,5516,4972,5461,5692,5906,7292,5832,5170,4838,4439,4811,6351,4409
강도,1시간이내,범죄,건,1531,1019,902,1215,1560,1370,1575,1839,2346,1790,2314,2454,2085,2389,39,282,59,48,49,45,741
강도,2시간이내,범죄,건,192,114,103,124,120,95,95,129,152,121,154,145,126,150,24,110,15,16,12,13,110
강도,5시간이내,범죄,건,199,118,80,144,185,162,140,175,214,158,194,218,166,195,12,132,19,12,8,8,175
강도,12시간이내,범죄,건,246,151,165,178,262,201,195,191,256,191,199,191,167,215,13,137,14,20,12,3,204
강도,24시간이내,범죄,건,529,336,324,368,437,261,252,262,321,198,255,267,227,291,12,95,9,12,6,9,126
강도,2일이내,범죄,건,370,235,217,259,344,299,313,217,247,231,234,204,199,257,19,138,7,8,9,14,153
강도,5일이내,범죄,건,326,239,235,317,379,305,282,443,525,443,438,431,412,565,16,209,25,25,8,20,206
강도,10일이내,범죄,건,208,129,176,202,254,212,189,254,323,337,318,303,359,486,22,196,12,25,14,10,195
강도,1개월이내,범죄,건,388,269,290,295,408,327,280,321,465,555,530,509,730,952,44,328,45,36,35,37,308
강도,3개월이내,범죄,건,248,244,230,221,275,277,178,303,346,464,392,452,720,851,26,262,45,22,29,26,271
강도,3개월초과,범죄,건,523,435,390,407,356,165,171,286,321,484,433,518,715,941,5605,3281,4588,4215,4629,6166,1920
강간,계,범죄,건,4247,3669,3919,5298,6173,4844,5580,5627,5978,6359,6855,6751,6119,6531,6950,7316,8755,8726,9883,10192,18220
강간,1시간이내,범죄,건,694,602,672,903,1151,1141,1395,1420,1639,1778,2265,2448,2323,2600,54,278,52,68,65,55,3950
강간,2시간이내,범죄,건,114,88,103,121,156,113,137,105,133,173,179,198,169,184,12,184,16,19,22,12,696
강간,5시간이내,범죄,건,180,141,123,150,229,204,195,230,240,256,307,252,237,230,8,234,23,17,13,9,948
강간,12시간이내,범죄,건,227,192,202,254,357,275,286,310,259,295,270,262,210,214,17,191,20,23,11,9,866
